Unnamed: 0,propagation_type,max_noise,firstPathAmp1,firstPathAmp2,firstPathAmp3,stdNoise,maxGrowthCIR,rxPreamCount,firstPath,LDE_PPINDX,LDE_PPAMPL,first_path_power,first_ratio,index_diff,skewness
2695,0,2062,16739,16982,14913,76,18080,854,747,749,16981,-83.41750231,-4.765428423,-2,-0.670557793
2696,0,1960,16606,16491,15909,72,18145,839,746,749,16605,-83.20995194,-4.727381715,-3,-0.632507353
2697,0,2092,16456,16615,11591,76,16298,835,748,750,16614,-83.87092292,-4.963635808,-2,-0.7046417
2698,0,2096,16000,16077,10950,76,18666,900,743,747,17462,-84.83140719,-5.862168883,-4,-0.706560451
2699,0,1964,16977,17403,13990,72,18876,871,748,750,17402,-83.61170282,-4.975538668,-2,-0.665596468
2700,0,2278,16728,16842,15051,84,17989,849,747,749,16841,-83.3718194,-4.748835079,-2,-0.696838939
2701,0,2069,17309,16720,15142,76,19140,884,746,749,17308,-83.62256712,-4.918040422,-3,-0.493724345
2702,0,1962,16565,14864,8386,72,18737,895,744,748,17369,-85.28088515,-6.376524279,-4,-0.585548793
2703,0,1723,17184,17784,15436,68,20725,963,745,747,17783,-84.14920205,-5.046720967,-2,-0.519581502
2704,0,1854,17450,16824,14584,68,18772,886,750,753,17449,-83.68645814,-4.877988419,-3,-0.572306638
2705,0,1853,16673,16518,15863,68,18248,841,749,752,16672,-83.22164257,-4.742974636,-3,-0.605131161
2706,0,1858,16387,16822,15606,68,17750,845,744,746,16821,-83.30313137,-4.66308003,-2,-0.331830149
2707,0,1753,17527,16107,12610,64,19085,903,746,749,17526,-84.27652324,-5.37478914,-3,-0.464994384
2708,0,2066,16952,18216,14603,76,20955,926,751,753,18215,-83.89868736,-5.184443541,-2,-0.348288652
2709,0,2010,18442,16979,16939,80,22379,969,746,749,18441,-83.88072929,-5.057759777,-3,0.7053719354827301
2710,0,1961,17975,16561,15498,72,20563,916,747,750,17974,-83.7777743,-5.075828847,-3,0.1714395140198558
2711,0,1749,17364,17335,10317,64,18677,869,743,746,17363,-84.04729607,-5.385070987,-3,-0.7070662
2712,0,1748,16889,16978,13555,64,17374,850,744,746,16977,-83.56610711,-4.781826029,-2,-0.705451885
2713,0,2018,18025,17524,16852,80,22066,960,745,748,18024,-83.79655951,-4.993470251,-3,-0.176245689
2714,0,2070,17693,16492,14835,76,19345,891,748,751,17692,-83.70902594,-4.982258464,-3,-0.192403743
2715,0,1963,16777,16942,15508,72,18334,848,751,753,16941,-83.25844709,-4.728201579,-2,-0.672091611
2716,0,1811,17398,16887,11013,64,17892,857,749,752,17397,-83.92225164,-5.194323364,-3,-0.690642148
2717,0,2034,17110,17816,12567,72,19724,881,746,748,17815,-83.81538889,-5.270919922,-2,-0.65855926
2718,0,1851,17430,16992,13420,68,18438,869,743,746,17429,-83.67068343,-4.952525273,-3,-0.675696524
2719,0,1961,15797,18467,17773,72,20658,925,748,750,18466,-83.51937299,-4.752520334,-2,-0.512768063
2720,0,1965,16899,16780,14929,72,18235,849,745,748,16898,-83.37177491,-4.807778048,-3,-0.697885929
2721,0,1944,16875,16671,10985,68,16583,836,749,752,16874,-83.86764214,-5.025246862,-3,-0.704146117
2722,0,1960,17418,16534,9919,72,18732,871,750,753,17417,-84.27638327,-5.606960928,-3,-0.67027471
2723,0,1982,16994,16821,13429,72,16978,845,747,750,16993,-83.5444931,-4.711323477,-3,-0.701219338
2724,0,1820,16423,15470,11807,72,18459,884,745,749,16723,-84.58034011,-5.71847577,-4,-0.587410265
2725,0,1914,16514,18124,15423,76,21095,952,748,750,18123,-84.1048062,-5.17896179,-2,0.2301094676868725
2726,0,2091,16797,16858,13135,76,17549,841,749,751,16857,-83.58030072,-4.93200381,-2,-0.706455675
2727,0,2036,16929,17729,14999,72,20038,884,750,752,17728,-83.52988379,-5.024481472,-2,-0.457545314
2728,0,1859,17007,16752,14843,68,18482,860,749,752,17006,-83.48269659,-4.865316488,-3,-0.670304123
2729,0,1959,16852,16714,15263,72,18606,846,748,751,16851,-83.30660264,-4.860824809,-3,-0.687606612
2730,0,2202,17772,18103,9777,80,21294,932,750,752,18102,-84.47097879,-5.770332305,-2,-0.703187354
2731,0,1745,17101,16890,11293,64,17607,859,743,746,17100,-83.96644372,-5.148533349,-3,-0.703844197
2732,0,2095,17295,18250,12667,76,20738,936,750,752,18249,-84.20479869,-5.35204968,-2,-0.626613604
2733,0,1957,16905,16470,13050,72,17690,849,751,754,16904,-83.7307646,-5.03498839,-3,-0.673489041
2734,0,1855,17628,16595,14390,68,19045,893,748,751,17627,-83.79313363,-4.979013489,-3,-0.409716523
2735,0,1916,18462,16696,15905,76,21945,965,745,748,18461,-84.05253909,-5.180447936,-3,0.4279720819618114
2736,0,1853,17908,16743,14492,68,20328,914,750,753,17907,-83.89848738,-5.165609245,-3,-0.366325627
2737,0,1750,16332,16897,15361,64,17390,843,751,753,16896,-83.32016981,-4.611713399,-2,-0.310311957
2738,0,1955,17397,16810,14931,72,19297,888,750,753,17396,-83.66325104,-4.954988951,-3,-0.545541532
2739,0,2275,16942,16442,11063,80,16794,838,746,749,16941,-83.91131987,-5.103080246,-3,-0.688434102
2740,0,1707,16395,16823,13477,60,16596,835,747,749,16822,-83.55009021,-4.721494222,-2,-0.663410184
2741,0,2302,17861,16728,13974,84,18839,904,744,747,17860,-83.89454019,-4.926849302,-3,-0.460286941
2742,0,1753,17240,16418,9272,64,17021,850,750,753,17239,-84.2109875,-5.337558966,-3,-0.679221893
2743,0,1958,18013,16568,15660,72,20846,918,750,753,18012,-83.76238784,-5.100860808,-3,0.2708098918287879
2744,0,1700,16873,16798,11956,60,17134,835,749,752,16872,-83.69226635,-5.002223726,-3,-0.706543115
2745,0,1741,16385,16805,13553,64,16570,827,748,750,16804,-83.45983709,-4.708051244,-2,-0.66251989
2746,0,1817,16045,17777,15037,72,20709,918,749,751,17776,-83.99826089,-5.308097808,-2,0.3102158705624038
2747,0,1750,16152,18623,17448,64,20730,938,744,746,18622,-83.6134611,-4.740496617,-2,-0.059885551
2748,0,1857,18486,16751,17041,68,22490,955,747,750,18485,-83.76667331,-5.091599694,-3,0.630440378248883
2749,0,1849,18103,16508,15916,68,20898,922,744,747,18102,-83.75231996,-5.063848047,-3,0.495546976126059
2750,0,1814,16359,16935,15700,64,17800,836,747,749,16934,-83.17833661,-4.643510352,-2,-0.082084036
2751,0,1810,17732,16918,11177,64,19218,882,745,748,17731,-84.07259123,-5.405400683,-3,-0.666038607
2752,0,1815,16297,17283,14664,72,20503,919,746,748,17282,-84.11911192,-5.376075071,-2,-0.291568162
2753,0,1846,17776,16757,14495,68,19484,901,749,752,17775,-83.79636191,-5.003746559,-3,-0.425681948
2754,0,1639,16909,16821,11008,60,17036,847,743,746,16908,-83.93894829,-5.100055658,-3,-0.706568177
2755,0,2052,17293,16804,12586,72,17560,860,749,752,17292,-83.76865164,-4.929026989,-3,-0.678812096
